Внешний код,Название,ID,Основной раздел,Источник данных
713132,Газовый баллон пропановый 12 л.,166493,Газовые баллоны,Импорт 1С
713103,Газовый баллон пропановый 27 л.,166494,Газовые баллоны,Импорт 1С
71305,Газовый баллон пропановый 50 л.,166495,Газовые баллоны,Импорт 1С
71374,Газовый баллон пропановый 5 л.,166496,Газовые баллоны,Импорт 1С
71250,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 4 мм",166497,Горелки газовые,Импорт 1С
71249,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 4 мм",166498,Горелки газовые,Импорт 1С
71247,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 4 мм",166499,Горелки газовые,Импорт 1С
71248,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 7 мм",166500,Горелки газовые,Импорт 1С
712165,"Газовоздушная горелка БАМЗ ГВМ-1 с вентилем, 900 мм",166503,Кровельные горелки,Импорт 1С
X1303070334,"Газовоздушная горелка БАМЗ ГВМ-1 с рычагом, 900 мм",166504,Кровельные горелки,Импорт 1С
712166,"Газовоздушная горелка БАМЗ ГВМ-1Б, 480 мм",166505,Кровельные горелки,Импорт 1С
71231,"Газовоздушная горелка ДОНМЕТ ГВ 231, 400 мм",166506,Кровельные горелки,Импорт 1С
71279,"Газовоздушная горелка ДОНМЕТ ГВ 231, 850 мм",166507,Кровельные горелки,Импорт 1С
71205,"Сварочная горелка ДОНМЕТ ГЗУ 247, свариваемая толщина: 8 мм",166508,Горелки газовые,Импорт 1С
71312,"Редуктор ацетиленовый БАМЗ БАО-5-4, для баллонов",166509,"Редукторы, регуляторы давления",Импорт 1С
71311,"Редуктор ацетиленовый БАМЗ БАО-5МГ, для баллонов",166510,"Редукторы, регуляторы давления",Импорт 1С
71307,"Регулятор БАМЗ БКО-50-4, для баллонов, газ кислород",166511,"Редукторы, регуляторы давления",Импорт 1С
71322,"Редуктор пропановый БАМЗ БПО-5МГ, для баллонов",166514,"Редукторы, регуляторы давления",Импорт 1С
X13031183,"Регулятор БАМЗ БУО-5, для баллонов, газ углекислота, соединение: входное G 3/4, выходное M16x1.5",166515,"Редукторы, регуляторы давления",Импорт 1С
71315,"Регулятор БАМЗ У-30-2 без подогревателя, газ углекислота",166516,"Редукторы, регуляторы давления",Импорт 1С
71329,Редуктор азотный БАМЗ А-30-2,166517,"Редукторы, регуляторы давления",Импорт 1С
71324,"Редуктор давления лягушка бытовой газовый Випра РДСГ 1-1.2, баллонный",166519,"Редукторы, регуляторы давления",Импорт 1С
X113707,Редуктор давления газовый в комплекте с ротаметром ПТК У30/АР40-КР,166520,"Редукторы, регуляторы давления",Импорт 1С
X113704,Редуктор давления кислородный ПТК БКО-50-5,166522,"Редукторы, регуляторы давления",Импорт 1С
X113705,"Редуктор пропановый ПТК БПО-5-5, пропускная способность 5 м3/ч",166523,"Редукторы, регуляторы давления",Импорт 1С
71351,Редуктор аргоновый БАМЗ АР-40-2,166524,"Редукторы, регуляторы давления",Импорт 1С
70605,"Резак ацетиленовый ДОНМЕТ РГР-142А 9/9, толщина реза: 100 мм, диаметр ниппеля 9 мм",166525,Резаки,Импорт 1С
70630,"Резак ацетиленовый ДОНМЕТ РГР-300А, инжекторный, ручной",166526,Резаки,Импорт 1С
70643,"Резак пропановый ДОНМЕТ РГР-142П 6/6, инжекторный",166530,Резаки,Импорт 1С
70603,"Резак пропановый ДОНМЕТ РГР-142П 9/9, инжекторный",166531,Резаки,Импорт 1С
X113727,"Сварочный резак трехтрубный ПТК Р3-345П с рычагом, толщина реза: 300 мм, диаметр ниппеля 6/9",166533,Резаки,Импорт 1С
X11375341,"Сварочный резак ПТК Р3-345П с рычагом, 900 мм",166534,Резаки,Импорт 1С
70647,"Резак Автоген-М Маяк-2-01, вентильный, толщина реза: 300 мм, диаметр ниппеля 9 мм",166535,Резаки,Импорт 1С
70633,"Резак удлиненный Автоген-М Маяк-2-01, вентильный, для сталей, толщина реза: 300 мм",166536,Резаки,Импорт 1С
706195,"Резак Факел РС-3П, для сталей, толщина реза: 110 мм",166537,Резаки,Импорт 1С
706194,"Резак удлиненный Факел, для металла",166538,Резаки,Импорт 1С
715311,Картридж KEMPER 300,166540,Паяльные лампы,Импорт 1С
715312,Картридж KEMPER 600,166541,Паяльные лампы,Импорт 1С
715295,"Паяльная лампа KEMPER 1040A, расход топлива: 0.14 л/ч",166542,Паяльные лампы,Импорт 1С
715298,"Паяльная лампа KEMPER 1047, комплект с баллоном",166543,Паяльные лампы,Импорт 1С
715296,"Паяльная лампа KEMPER 1060 с пьезоподжигом, расход топлива: 0.11",166544,Паяльные лампы,Импорт 1С
